Created Due : Mon Aug  1 15:39:25 2022

Time,actual_pos,actual_vel,actual_tor
1659335973525165267,-4127,0,24,
1659335973526162090,-4127,0,-19,
1659335973527160063,-4127,0,-12,
1659335973528158021,-4128,0,26,
1659335973529151211,-4128,0,7,
1659335973530157367,-4128,0,5,
1659335973531152697,-4128,0,-23,
1659335973532151588,-4128,0,-10,
1659335973533150717,-4127,37,14,
1659335973534173729,-4127,0,0,
1659335973535168195,-4127,0,-5,
1659335973536175077,-4127,0,-7,
1659335973537167721,-4127,0,33,
1659335973538181239,-4127,-37,30,
1659335973539192598,-4128,0,12,
1659335973540170200,-4128,0,-5,
1659335973541167245,-4128,0,-3,
1659335973542195628,-4128,37,3,
1659335973543180926,-4127,0,-19,
1659335973544174765,-4127,0,-12,
1659335973545177565,-4127,0,21,
1659335973546178576,-4127,0,-14,
1659335973547148373,-4127,0,-3,
1659335973548171639,-4127,0,-7,
1659335973549154428,-4127,0,-5,
1659335973550176974,-4127,0,12,
1659335973551173980,-4127,0,36,
1659335973552167108,-4127,0,36,
1659335973553928158,-4127,0,7,
1659335973554160805,-4127,0,-36,
1659335973555196233,-4127,0,33,
1659335973556184744,-4127,-37,-7,
1659335973557176687,-4128,0,5,
1659335973558170202,-4128,0,31,
1659335973559171479,-4128,0,12,
1659335973560180849,-4128,0,-5,
1659335973561177601,-4128,0,-11,
1659335973565436777,-4127,0,9,
1659335973566151547,-4127,0,45,
1659335973567148923,-4127,0,3,
1659335973568147968,-4128,0,64,
1659335973569170279,-4129,-37,43,
1659335973570170563,-4129,0,-5,
1659335973571181672,-4128,0,-20,
1659335973572170828,-4128,0,-19,
1659335973573157450,-4128,0,-3,
1659335973574198229,-4128,0,43,
1659335973575194158,-4128,0,-5,
1659335973576194967,-4128,0,36,
1659335973577176162,-4128,0,28,
1659335973578176161,-4129,0,8,
1659335973579173003,-4129,0,26,
1659335973580172442,-4127,0,-22,
1659335973581171077,-4127,0,-3,
1659335973582166678,-4127,0,-12,
1659335973583880880,-4127,0,-5,
1659335973584151428,-4128,0,26,
1659335973585178765,-4128,0,-5,
1659335973586162009,-4128,0,14,
1659335973587180675,-4128,0,7,
1659335973588181473,-4128,0,14,
1659335973589169188,-4128,0,3,
1659335973590176995,-4127,0,7,
